Sequence number;Packet Number;RTT [ms]
764545;529;14.125000
765993;530;14.250000
767441;531;14.250000
768889;532;14.250000
770337;533;14.250000
771785;534;14.250000
773233;535;14.250000
774681;536;14.125000
776129;537;14.125000
777577;538;14.125000
779025;539;14.250000
780473;540;14.250000
781921;541;14.250000
783369;542;14.125000
784817;543;14.125000
786265;544;14.125000
787713;545;14.250000
789161;546;14.250000
790609;547;14.250000
792057;548;14.125000
793505;549;14.125000
794953;550;14.125000
796401;551;14.125000
797849;552;14.125000
799297;553;14.125000
800745;554;14.125000
802193;555;14.125000
803641;556;14.125000
805089;557;14.250000
806537;558;14.250000
807985;559;14.250000
809433;560;14.250000
810881;561;14.250000
812329;562;14.250000
813777;563;14.241000
815225;564;14.241000
816673;565;14.241000
818121;566;14.259000
819569;567;14.259000
821017;568;14.259000
822465;569;14.250000
823913;570;14.250000
825361;571;14.250000
826809;572;14.125000
828257;573;14.125000
829705;574;14.125000
831153;575;14.250000
832601;576;14.250000
834049;577;14.250000
835497;578;14.250000
836945;579;14.250000
838393;580;14.250000
839841;581;14.250000
841289;582;14.250000
842737;583;14.250000
844185;584;0
845633;585;0
847081;586;0
848529;587;0
849977;588;0
851425;589;14.125000
852873;590;14.125000
854321;591;14.125000
855769;592;14.125000
857217;593;14.250000
858665;594;14.250000
860113;595;14.250000
861561;596;14.125000
863009;597;14.125000
864457;598;14.125000
865905;599;14.125000
867353;600;14.125000
868801;601;14.125000
870249;602;14.250000
871697;603;14.250000
873145;604;14.250000
874593;605;14.125000
876041;606;14.125000
877489;607;14.125000
878937;608;14.125000
880385;609;14.125000
881833;610;14.125000
883281;611;14.125000
884729;612;14.125000
886177;613;14.125000
887625;614;14.250000
889073;615;14.250000
890521;616;14.250000
891969;617;14.250000
893417;618;14.250000
894865;619;14.250000
896313;620;14.250000
897761;621;14.250000
899209;622;14.250000
900657;623;14.250000
902105;624;14.250000
903553;625;14.250000
905001;626;14.250000
906449;627;14.250000
907897;628;14.250000
909345;629;14.250000
910793;630;14.250000
912241;631;14.250000
913689;632;14.250000
915137;633;14.250000
916585;634;14.250000
918033;635;14.125000
919481;636;14.125000
920929;637;14.125000
922377;638;14.375000
